Step    Eff_PrevBest         F1                 F2                F3                    Eff_Curr             f1                 f2                f3
1      -1.0                  4.155332045985558 -8.440179227412283 7.876718853729291    -0.625252525252525253 4.041772286920201 -8.510980172050552 7.770208819452694
2      -0.625252525252525253 4.041772286920201 -8.510980172050552 7.770208819452694    -0.019191919191919192 4.264575244255251 -9.014788503588369 7.679895057982852
3      -0.019191919191919192 4.264575244255251 -9.014788503588369 7.679895057982852     0.0                  4.235760803265832 -9.187700350873222 7.594804766810080
4       0.0                  4.235760803265832 -9.187700350873222 7.594804766810080     0.0                  4.261215385634046 -8.806950922958105 6.663907478837237
5       0.0                  4.235760803265832 -9.187700350873222 7.594804766810080    -0.913131313131313131 4.435999373767274 -8.688837761078064 7.975944851964046
6       0.0                  4.235760803265832 -9.187700350873222 7.594804766810080    -0.011111111111111111 4.551310244642159 -9.238376884754596 7.836907018954980
7       0.0                  4.235760803265832 -9.187700350873222 7.594804766810080     0.003030303030303030 4.224625385369505 -9.255050461778135 7.700620359823226
8       0.003030303030303030 4.224625385369505 -9.255050461778135 7.700620359823226     0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597
9       0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597    -0.943434343434343434 4.490623187059078 -8.238014026161888 7.809441429811264
10      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.001010101010101010 4.116720997570208 -9.313824548219480 7.530451572653393
11      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.003030303030303030 4.336135537282732 -9.239501733663351 7.723282124208301
12      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597    -0.007070707070707071 4.222763299614772 -9.144259963384313 7.830743433210770
13      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.001010101010101010 4.778912833512459 -9.631742694790500 7.719519070489841
14      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597    -0.035353535353535354 4.315434833724401 -9.026153506505734 7.949737631791948
15      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597    -0.002020202020202020 3.833439044524983 -9.077272964004706 7.722233050504312
16      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597    -0.011111111111111111 4.174927186503777 -9.190625690546565 7.841919771048279
17      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.002020202020202020 4.305402870217006 -9.312842017817962 7.743285246408078
18      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.004040404040404040 3.850009994607451 -9.462983052228267 8.223562244614362
19      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.005050505050505051 3.950876347038584 -9.114028542038717 7.745339269128697
20      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597    -0.010101010101010101 4.033229637436198 -8.968577225213851 7.652787324149747
21      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.001010101010101010 4.000220638204101 -9.308392109648466 7.709807785768363
22      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597    -0.004040404040404040 4.201547360395904 -9.211635721545841 7.802695271188256
23      0.005050505050505051 4.202224437588803 -9.197575108244138 7.754402864005597     0.003030303030303030 4.477986188398867 -9.248890804214014 7.957365356375743
