Step    Eff_PrevBest F1 F2 F3    Eff_Curr f1 f2 f3
49    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.015151515151515152 9.760500802393675 2.4306415839750612 -5.178065165421478
50    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.027272727272727275 9.749930207175069 2.4278751821165825 -5.15808761201768
51    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.015151515151515152 9.760982532732983 2.419737382811205 -5.21174283689319
52    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.027272727272727275 9.759847187821537 2.43321493163246 -5.161147866114527
53    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.030303030303030304 9.76887247826387 2.4502783993388637 -5.128395240529386
54    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.00909090909090909 9.79605976068756 2.4271640796505256 -5.082389212632594
55    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0 9.783063172950277 2.392109382281812 -5.442731713271233
56    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.01818181818181818 9.675101261610846 2.5161849711163264 -5.096679884202377
57    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.030303030303030304 9.732580691876123 2.4549308619611665 -5.193161582643266
58    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.015151515151515152 9.757962171354928 2.4213649625229468 -5.176776891914322
59    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.702919315749726 2.40675062388659 -5.138602977518165
60    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.775854603281697 2.3936120280079423 -5.181221378760265
61    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.030303030303030304 9.787209845721446 2.4220779777001544 -5.173870413727017
62    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.738069199276653 2.444557102948437 -5.202996392821674
63    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.760691186180159 2.4142122054426727 -5.1767758360639125
64    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.744483308139994 2.376299951795493 -5.177115306904295
65    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.771713986262835 2.4113753574912935 -5.175282358446165
66    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.677326138530153 2.4008844586194216 -5.238123147963183
67    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.610222846592695 2.35065676906996 -5.1866190162002015
68    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.744379323832375 2.274415708829938 -5.112039777490601
69    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.00909090909090909 9.723247303721479 2.40366242367038 -5.223110487197677
70    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.827729738645104 2.3885896104156066 -5.235445413657407
71    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.006060606060606061 9.827492847076678 2.3441034499017483 -5.191099620185848
72    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.773696171940212 2.473754335674734 -5.221791063682433
73    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.027272727272727275 9.73152771034978 2.439550355982407 -5.134470083363434
74    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.756857707353538 2.3989148105643125 -5.14536217465958
75    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.015151515151515152 9.716635308432357 2.404741195166856 -5.2585802439843885
76    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.673919547103713 2.439399217724952 -5.156522592773291
77    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.021212121212121213 9.745137097813746 2.537382304320144 -5.162153715599124
78    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.774788351015077 2.4029850396175427 -5.1429052315516035
79    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.7482618609668 2.4268100269411583 -5.21677017262249
