Step    Eff_PrevBest F1 F2 F3    Eff_Curr f1 f2 f3
191    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.950149285967496 2.5116992763427604 -5.268621843678029
192    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.029797930115489 2.519985924826849 -5.233225518763363
193    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.938779530843284 2.521360283040892 -5.153661189031868
194    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.974603905413979 2.458455674556743 -5.1495392665549415
195    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.96721803275098 2.4326376456364893 -5.243295866187741
196    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0787878787878788 10.053565293061283 2.5190148558307053 -5.146176373798388
197    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.00909090909090909 9.928277139375064 2.4706912279811877 -5.151711763763136
198    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 10.000949793578116 2.5493888803717653 -5.219912915310092
199    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.988447049508244 2.49675787079739 -5.210623058167485
200    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.934090590786521 2.4989182058720885 -5.16119398216929
201    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.10303030303030301 9.94836084351082 2.533153422298741 -5.1540111644401545
202    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.909743442115829 2.526854703536565 -5.192693946418116
203    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.81572638121375 2.549390115173103 -5.301224653494526
204    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.876165919347207 2.512283460850999 -5.205174868676096
205    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.941752264994076 2.4697996470436268 -5.242287710405309
206    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.898294881635133 2.451396476911559 -5.109717147975895
207    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.877666658685111 2.5732604267818036 -5.176457600541451
208    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.2515151515151515 9.96903246323988 2.5746053471319765 -5.021075948944127
209    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.915747043422993 2.556094121921723 -5.129701500650995
210    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.882898496322536 2.5292179557097705 -5.25041286740283
211    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 10.067793492184231 2.5225812614360703 -5.173364583815015
212    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 10.091493707141217 2.4690760237637943 -5.164697854005743
213    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.942497543844752 2.514582632006992 -5.162168720827555
214    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.956503082202119 2.501331789595123 -5.163979775002614
215    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0606060606060606 10.022612247942867 2.5382752904186585 -5.121603693592103
216    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.884169903488067 2.490557657461113 -5.135520946737576
217    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.933633994320402 2.51268429138927 -5.169955419169335
218    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.982962915370141 2.483234723242317 -5.201713875974836
219    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.926714087896514 2.5410232004793722 -5.153740673827117
220    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.965768725653742 2.466809918100727 -5.289423265140425
221    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.957475580329056 2.4818711135033333 -5.186299583971149
222    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.93834516212661 2.509370337853795 -5.159549934341508
223    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.925035716663446 2.516097151781967 -5.183116966964775
224    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 9.807069211332294 2.4740136529717645 -5.027387096864438
225    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.863306549699388 2.564115287554186 -5.154128721853726
226    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.941621492222973 2.4938422378142913 -5.173605057723953
227    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.937776757588852 2.524642088432813 -5.180847947330835
228    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.968295626072218 2.5892543815844364 -5.17625799139832
229    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545454 9.954117878576994 2.5506168782565086 -5.174697497798548
230    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.861836132112163 2.4874109031881066 -5.226837443584205
231    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.864719591903583 2.5106729376803165 -5.164738230196259
232    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.937646930064059 2.5078435685924587 -5.1527767241164595
233    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.930436320872527 2.5155102263437636 -5.160594971355295
234    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.858679089620411 2.4579304346351103 -5.09861529010363
235    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.909164024337928 2.483034167942376 -5.056133804553562
236    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.933275708436494 2.4120532731767947 -5.218427702211756
237    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 10.064520353793508 2.5443161426067777 -5.386036453446251
238    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.94286968614692 2.502036942917218 -5.1595447771977945
239    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.791682500816245 2.5078895527858998 -5.2222129354308695
240    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.863491047947537 2.6199678528805763 -5.1916576010426425
241    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 10.016542785259107 2.3624711839647596 -5.101095396594201
242    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 9.936334717423977 2.504198607521623 -5.156510147773232
243    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 10.006203906510907 2.4230047102775223 -5.078744562927042
244    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.93293144952279 2.5040826246291212 -5.166201428544504
245    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.934586851630772 2.5301432030116042 -5.060332728161498
246    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.947348865018917 2.5523223337848235 -5.115512332123053
247    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.13333333333333333 10.013975566523285 2.6263844789930677 -5.141412945413149
248    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0030303030303030307 9.91517411502513 2.506144420865655 -5.156571344024683
249    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.930372063519401 2.331433990702152 -5.124209785117523
250    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.936695398586975 2.4980790074799253 -5.16088578875147
251    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.944433614165764 2.497078649130664 -5.154010401976226
252    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.956353460467387 2.589852485569341 -5.1743427925246275
253    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0696969696969697 9.951846760431179 2.565596975220838 -5.192074461830177
254    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.943876914682027 2.453321579129058 -5.190172917356401
255    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.935823408028664 2.45326292286173 -5.332220281637394
256    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.840352781307017 2.530593180907015 -5.146198466562386
257    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.119664175144578 2.446497007201007 -5.250328525135952
258    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.994822063062598 2.4421678975086243 -5.226467765830883
259    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.822913648339215 2.549442554113404 -5.13292728832504
260    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09999999999999999 9.80060470317266 2.5883806094217516 -5.086495895561613
261    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.941426609563344 2.5051788482890847 -5.157645019842163
262    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.923692661561356 2.5130507123639316 -5.140726577121917
263    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.838207710669453 2.495263078676597 -5.214574705871872
264    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 10.002876525624579 2.3770459996860396 -5.31612946833774
265    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.894438143103626 2.561163582446641 -5.147790463193224
266    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 9.964045852733753 2.493735703636264 -5.164534079440327
267    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.683323976110659 2.4098449424598165 -5.165244051914444
268    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.969012301148238 2.4778250689865504 -5.066384644965501
269    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.940685755376316 2.555029145560244 -5.07000802611174
270    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.920889449856826 2.570899349363019 -5.225826682837603
271    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.93882447124095 2.504147773290988 -5.151351699266155
272    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.837378430393251 2.468517395945391 -5.231539312549966
273    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09999999999999999 9.840911147892712 2.5654372961715453 -5.132236874671812
274    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.947588338649615 2.436142946224147 -5.132278248882743
275    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 10.015361115260907 2.5016119834673014 -5.185257462763364
276    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.868852839272924 2.428883467417982 -5.201782201525701
277    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.955617898592163 2.4444800025024334 -5.1213016462446115
278    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.048484848484848485 10.00444078468071 2.5370335177887586 -5.160436832752171
279    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.914092289187899 2.379781269650219 -5.156617836914313
280    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.91598652006198 2.5232811061575444 -5.163331052009843
281    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.851605708142973 2.492905825503989 -5.11119964461008
282    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.937080144426746 2.489966628227212 -5.172160736848444
283    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.919570291256226 2.506744006803772 -5.161757686022138
284    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666665 9.849275795854256 2.504212984297291 -5.040598785732418
285    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 10.05740662573817 2.495545594662414 -5.123143717110988
286    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.966926933794957 2.456978625408608 -5.232942776755792
287    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.14545454545454545 10.06377103682457 2.5782371914716005 -5.048791705642861
288    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 10.022926588671249 2.5498193332641903 -5.180586857630345
289    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0 9.933195134682515 2.5009698092764925 -5.167150095509435
290    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.922772310897143 2.540331863057688 -5.1974550666324415
291    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666665 9.908416608456394 2.532073544333774 -5.109180075087904
292    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.862330839306546 2.3951576219524253 -5.103840073699199
293    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06363636363636363 9.956889791123274 2.524629480758749 -5.049444169421255
294    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.33333333333333337 9.937438340003906 2.6108083729237004 -4.97716820938084
295    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 10.00084708336305 2.516647089996628 -5.127758719394954
296    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0787878787878788 9.891235473742213 2.543677655249299 -5.114538793188296
297    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.964826922824717 2.5665598997721895 -5.299053892582443
298    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.952820855828358 2.504511966082849 -5.172856504940295
299    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.983492814114607 2.593331900593228 -5.173290474296987
300    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.773605143288943 2.6777801239421075 -5.144202304741665
301    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.955043224296631 2.451094674266904 -5.173530763974131
302    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 10.081745831721339 2.4350725193858027 -5.177826546365326
303    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.820852387811868 2.573889101918472 -5.20382259837248
304    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.881329837158077 2.532474321347627 -5.123167472622684
305    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.93074257261588 2.507694540721429 -5.159293105565906
306    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.843018457897942 2.4789832212579475 -5.066654937381218
307    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.979327236675209 2.488171339712575 -5.13882574980363
308    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545454 9.863159410286501 2.5666512419537444 -5.140335917172
309    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0696969696969697 9.976952789607516 2.5062848430971214 -5.098309809373793
310    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 9.943874659906857 2.4718840648224307 -5.117149001684381
311    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 9.968060633186532 2.49534813406993 -5.127098290632645
312    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.947050008202309 2.505455362740486 -5.211629184817248
313    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.912369744504645 2.5269643618996964 -5.152173374087729
314    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.995672258645234 2.407538969454525 -5.217470134885659
315    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 9.899535857422062 2.5618572172209366 -5.13139151666557
316    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.924754065790191 2.4972402968719 -5.107701623488221
317    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.00909090909090909 9.938908146975063 2.506774549565188 -5.158934320206322
318    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.909208948546413 2.501356745109399 -5.065347972334192
319    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.925940186372276 2.501464556312657 -5.157861033681487
320    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.012151441191605 2.4754441428316425 -5.150322720610612
321    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.944737321698254 2.4982962719160615 -5.126025409977055
322    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666667 9.972029309229159 2.4997152860107024 -5.147020427670685
323    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08484848484848484 9.838359850987864 2.4175102717288355 -4.983426011165446
324    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.939891331105894 2.505046464513894 -5.158030676513235
325    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.93302836590545 2.5078490274546144 -5.157973817194824
326    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.908134949761642 2.424177541086393 -5.098222019020082
327    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.921787211553745 2.489638958069625 -5.160756985335005
328    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.941410516445067 2.517387885638103 -5.157615901981513
329    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.10303030303030301 9.920355056976147 2.5866759873171934 -5.175302109452339
330    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 10.024552641431015 2.435198103212844 -5.083793940900349
331    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 9.971274224870664 2.55450266807759 -5.162895659744752
332    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.935573228954306 2.532284911751931 -5.172823067584389
333    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.936248762685056 2.4846347412984713 -5.187564958896319
334    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 9.981126656861973 2.45676363561808 -5.149929103626903
335    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.938245064742958 2.5059200334241054 -5.158281347141313
336    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.1484848484848485 10.021722028432277 2.6458635662672196 -5.075668679735911
337    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.939616361597531 2.5070345919288988 -5.157724435418171
338    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.815545387693554 2.4222029909517233 -5.1649475016334865
339    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.03416245632226 2.541579985103701 -5.307053389639755
340    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.982661432321146 2.422654819494062 -5.085021678960083
341    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.01818181818181818 10.042861954492167 2.513749601814315 -5.178224992100809
342    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.936483578483031 2.4995711243756347 -5.143016781259521
343    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 10.04834131576385 2.501970880689719 -5.1198379496272555
344    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.85033365907482 2.4357141088247443 -5.143711726865178
345    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 10.00838045802649 2.4830559061328596 -5.193097022351398
346    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.904313103059085 2.4628038735781486 -5.204323907039167
347    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.947895163962498 2.445824816463812 -5.164577405274531
348    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.90280608553838 2.541099874700359 -5.121622020849069
349    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.93870228466581 2.4919177725252375 -5.14585526872723
350    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 10.014466166045143 2.4941032288773544 -5.209620402978571
351    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.941176036798414 2.5134245781640563 -5.1543115962359005
352    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 9.936779885268878 2.574495271852818 -5.11003444995725
353    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.12121212121212122 9.998806915586597 2.557089497494912 -5.077612205570787
354    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.891433181203606 2.3955649459778416 -4.8924418789357835
355    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.968393889912107 2.4479494830563984 -5.126035318472586
356    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.919892920976926 2.5513764545524804 -5.114701207519201
357    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.871912373629636 2.6261399241083545 -5.250094957104433
358    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09696969696969697 9.903342097784423 2.682971996470531 -5.166357882243216
359    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.916495932281924 2.4796436836408007 -5.176551405398146
360    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.933813713017962 2.5062390065216182 -5.166120235848485
361    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.93594642833735 2.4976964196049463 -5.142707462472685
362    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.915896541621901 2.4926324102653172 -5.172487034721484
363    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.866073739723898 2.556138227089143 -5.243953767010311
364    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.962154160400003 2.5115460929426137 -5.161906635473417
365    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.967382053487912 2.424444846486724 -5.171900939733803
366    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.92705772192894 2.4361008027568203 -5.062625484068071
367    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.956722618107293 2.4957419794482307 -5.163200512155421
368    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.869956628618331 2.593328537685504 -5.158157945977171
369    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.855698496945726 2.5538388137250427 -5.147858082011142
370    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.919511414477846 2.521520012309246 -5.316780913494528
371    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.970959564244827 2.507591105908411 -5.160830901198572
372    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 9.951394313935099 2.5104688419239785 -5.156988514846356
373    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.952595072272697 2.4159629514364105 -5.165071073516569
374    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.93640615474139 2.3917081447000164 -5.167581217292911
375    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.966071706947748 2.4659646469052166 -5.074780011105767
376    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.932480742615201 2.505240882055262 -5.162508294261417
377    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.944694609570321 2.469534759204775 -5.156551754436516
378    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 9.999272631616515 2.5278671261429735 -5.147530534173493
379    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727272 9.928677949933281 2.6118251210309715 -5.131922663437655
380    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.817887036688603 2.5214139089282006 -5.173443426512013
381    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878786 9.92924425990159 2.586879266590122 -5.086247808122345
382    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 10.055337764647337 2.489587822576648 -5.229190318938121
